date,open,high,low,close,volume
2024-01-02,100.00,101.20,99.40,100.80,1200000
2024-01-03,100.70,102.10,100.20,101.90,1185000
2024-01-04,101.80,102.40,100.90,101.30,1250000
2024-01-05,101.20,103.00,100.80,102.70,1320000
2024-01-08,102.60,104.10,102.00,103.80,1405000
2024-01-09,103.70,104.30,102.80,103.10,1290000
2024-01-10,103.00,105.20,102.70,104.90,1510000
2024-01-11,104.80,106.00,104.10,105.60,1475000
2024-01-12,105.50,106.20,104.60,105.20,1360000
2024-01-16,105.10,107.10,104.90,106.80,1580000
2024-01-17,106.70,107.40,105.80,106.10,1495000
2024-01-18,106.00,108.20,105.70,107.90,1620000
2024-01-19,107.80,109.00,107.10,108.60,1700000
2024-01-22,108.50,109.40,107.60,108.00,1430000
2024-01-23,107.90,110.10,107.50,109.70,1665000
2024-01-24,109.60,111.20,109.00,110.80,1725000
2024-01-25,110.70,111.00,109.50,110.20,1550000
2024-01-26,110.10,112.30,109.80,111.90,1810000
2024-01-29,111.80,113.00,111.00,112.40,1760000
2024-01-30,112.30,112.80,110.90,111.50,1640000
2024-01-31,111.40,113.20,110.70,112.90,1900000
2024-02-01,112.80,114.40,112.20,113.80,1845000
2024-02-02,113.70,115.00,113.10,114.60,1790000
2024-02-05,114.50,115.30,113.60,114.10,1680000
2024-02-06,114.00,116.20,113.80,115.70,1950000
